artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Queen,Who Wants To Live Forever - Remastered 2011,0.182,0.388,4.0,-8.672,0.0,0.0324,0.544,0.00134,0.114,0.0392,139.276,audio_features,3SGP8It5WDnCONyApJKRTJ,spotify:track:3SGP8It5WDnCONyApJKRTJ,https://api.spotify.com/v1/tracks/3SGP8It5WDnCONyApJKRTJ,https://api.spotify.com/v1/audio-analysis/3SGP8It5WDnCONyApJKRTJ,295333.0,4.0
Queen,Friends Will Be Friends - Remastered 2011,0.447,0.531,7.0,-7.721,1.0,0.0269,0.0377,1.28e-05,0.336,0.339,75.051,audio_features,3EGlnkJGcwz73rT0oE0X1X,spotify:track:3EGlnkJGcwz73rT0oE0X1X,https://api.spotify.com/v1/tracks/3EGlnkJGcwz73rT0oE0X1X,https://api.spotify.com/v1/audio-analysis/3EGlnkJGcwz73rT0oE0X1X,246907.0,3.0
Queen,Cool Cat - Remastered 2011,0.818,0.4,9.0,-9.927,1.0,0.11,0.302,0.00241,0.18,0.838,73.76,audio_features,7nhWtCc3v6Vem80gYPlppQ,spotify:track:7nhWtCc3v6Vem80gYPlppQ,https://api.spotify.com/v1/tracks/7nhWtCc3v6Vem80gYPlppQ,https://api.spotify.com/v1/audio-analysis/7nhWtCc3v6Vem80gYPlppQ,209107.0,4.0
Queen,Seven Seas Of Rhye - Remastered 2011,0.317,0.896,2.0,-6.089,1.0,0.104,0.122,0.0168,0.253,0.421,126.894,audio_features,1IhLUUzMxDDJ9pzfT95exy,spotify:track:1IhLUUzMxDDJ9pzfT95exy,https://api.spotify.com/v1/tracks/1IhLUUzMxDDJ9pzfT95exy,https://api.spotify.com/v1/audio-analysis/1IhLUUzMxDDJ9pzfT95exy,168973.0,4.0
Queen,I Was Born To Love You - 2011 Remaster,0.449,0.908,8.0,-6.131,1.0,0.0853,0.0833,0.0,0.0971,0.495,139.083,audio_features,7DtdhIJlSSOaAFNk4JdXCb,spotify:track:7DtdhIJlSSOaAFNk4JdXCb,https://api.spotify.com/v1/tracks/7DtdhIJlSSOaAFNk4JdXCb,https://api.spotify.com/v1/audio-analysis/7DtdhIJlSSOaAFNk4JdXCb,289813.0,4.0
Queen,Innuendo - Remastered 2011,0.346,0.728,1.0,-5.747,1.0,0.0451,0.187,0.00379,0.344,0.174,74.939,audio_features,0BzhS74ByIVlyz8BedHaYi,spotify:track:0BzhS74ByIVlyz8BedHaYi,https://api.spotify.com/v1/tracks/0BzhS74ByIVlyz8BedHaYi,https://api.spotify.com/v1/audio-analysis/0BzhS74ByIVlyz8BedHaYi,393027.0,4.0
Queen,Keep Yourself Alive - Live At The Rainbow,0.308,0.975,9.0,-5.894,0.0,0.173,0.0194,9.14e-06,0.975,0.295,138.974,audio_features,34pz8XUZRfw04lk4DPtwa7,spotify:track:34pz8XUZRfw04lk4DPtwa7,https://api.spotify.com/v1/tracks/34pz8XUZRfw04lk4DPtwa7,https://api.spotify.com/v1/audio-analysis/34pz8XUZRfw04lk4DPtwa7,236083.0,4.0
Queen,It's A Hard Life - Remastered 2011,0.42,0.599,3.0,-6.188,1.0,0.0291,0.422,0.0,0.159,0.299,82.336,audio_features,34MoKBRdC9JDjcL4b4X1Ic,spotify:track:34MoKBRdC9JDjcL4b4X1Ic,https://api.spotify.com/v1/tracks/34MoKBRdC9JDjcL4b4X1Ic,https://api.spotify.com/v1/audio-analysis/34MoKBRdC9JDjcL4b4X1Ic,246973.0,4.0
Queen,Save Me - Remastered 2011,0.507,0.452,7.0,-6.8,1.0,0.0269,0.359,0.0,0.109,0.322,81.632,audio_features,1pBFEy8cz0Fq4Pru0c4awd,spotify:track:1pBFEy8cz0Fq4Pru0c4awd,https://api.spotify.com/v1/tracks/1pBFEy8cz0Fq4Pru0c4awd,https://api.spotify.com/v1/audio-analysis/1pBFEy8cz0Fq4Pru0c4awd,229920.0,3.0
Queen,Breakthru - Remastered 2011,0.569,0.864,5.0,-5.697,1.0,0.0862,0.0614,0.00955,0.353,0.318,90.08,audio_features,5Nuxdf0f5PpaeaPm4jrhiE,spotify:track:5Nuxdf0f5PpaeaPm4jrhiE,https://api.spotify.com/v1/tracks/5Nuxdf0f5PpaeaPm4jrhiE,https://api.spotify.com/v1/audio-analysis/5Nuxdf0f5PpaeaPm4jrhiE,248387.0,4.0
Queen,Ay-Oh - Live Aid,0.215,0.87,2.0,-10.92,1.0,0.351,0.881,0.112,0.976,0.462,144.877,audio_features,6Fl9MoM9BDk6vwbHqBBZeK,spotify:track:6Fl9MoM9BDk6vwbHqBBZeK,https://api.spotify.com/v1/tracks/6Fl9MoM9BDk6vwbHqBBZeK,https://api.spotify.com/v1/audio-analysis/6Fl9MoM9BDk6vwbHqBBZeK,41455.0,3.0
Queen,Heaven For Everyone - Remastered 2011,0.593,0.425,0.0,-9.775,1.0,0.0288,0.29,1.34e-06,0.167,0.268,110.208,audio_features,3Klfd4rsRO53fYpxmdQmYV,spotify:track:3Klfd4rsRO53fYpxmdQmYV,https://api.spotify.com/v1/tracks/3Klfd4rsRO53fYpxmdQmYV,https://api.spotify.com/v1/audio-analysis/3Klfd4rsRO53fYpxmdQmYV,336160.0,4.0
Queen,One Vision - Remastered 2011,0.456,0.923,2.0,-7.398,1.0,0.223,0.0444,0.000296,0.361,0.338,120.004,audio_features,3ROPrLWea9uICOW4V2Px1y,spotify:track:3ROPrLWea9uICOW4V2Px1y,https://api.spotify.com/v1/tracks/3ROPrLWea9uICOW4V2Px1y,https://api.spotify.com/v1/audio-analysis/3ROPrLWea9uICOW4V2Px1y,311027.0,4.0
Queen,Tie Your Mother Down - Remastered 2011,0.331,0.887,2.0,-5.588,1.0,0.0648,0.114,0.000103,0.367,0.196,135.035,audio_features,4mLKx7zsUdyT4Ax7rI7KXu,spotify:track:4mLKx7zsUdyT4Ax7rI7KXu,https://api.spotify.com/v1/tracks/4mLKx7zsUdyT4Ax7rI7KXu,https://api.spotify.com/v1/audio-analysis/4mLKx7zsUdyT4Ax7rI7KXu,287427.0,4.0
Queen,Play The Game - Remastered 2011,0.242,0.7,5.0,-5.772,1.0,0.0346,0.341,0.0,0.122,0.273,156.706,audio_features,5p6xhgQCwzX0G9PadMU9GA,spotify:track:5p6xhgQCwzX0G9PadMU9GA,https://api.spotify.com/v1/tracks/5p6xhgQCwzX0G9PadMU9GA,https://api.spotify.com/v1/audio-analysis/5p6xhgQCwzX0G9PadMU9GA,212533.0,4.0
Queen,You Don't Fool Me - Remastered 2011,0.591,0.829,4.0,-6.499,0.0,0.036,0.101,8.63e-05,0.385,0.574,121.964,audio_features,1chxAv59LZcOE5FyrlUze2,spotify:track:1chxAv59LZcOE5FyrlUze2,https://api.spotify.com/v1/tracks/1chxAv59LZcOE5FyrlUze2,https://api.spotify.com/v1/audio-analysis/1chxAv59LZcOE5FyrlUze2,324853.0,4.0
Queen,Princes Of The Universe - Remastered 2011,0.386,0.881,7.0,-5.045,1.0,0.0922,0.0327,0.0,0.296,0.267,81.397,audio_features,0Uy8lcDHiPDicBQ7rnDgcK,spotify:track:0Uy8lcDHiPDicBQ7rnDgcK,https://api.spotify.com/v1/tracks/0Uy8lcDHiPDicBQ7rnDgcK,https://api.spotify.com/v1/audio-analysis/0Uy8lcDHiPDicBQ7rnDgcK,213827.0,4.0
Queen,The Invisible Man - Remastered 2011,0.704,0.792,0.0,-6.94,1.0,0.0422,0.188,0.0155,0.328,0.563,119.994,audio_features,6VoiY3rukFPoqzP4AoGPU8,spotify:track:6VoiY3rukFPoqzP4AoGPU8,https://api.spotify.com/v1/tracks/6VoiY3rukFPoqzP4AoGPU8,https://api.spotify.com/v1/audio-analysis/6VoiY3rukFPoqzP4AoGPU8,237680.0,4.0
Queen,Headlong - Remastered 2011,0.566,0.912,2.0,-5.265,1.0,0.0964,0.192,7.19e-06,0.127,0.372,143.982,audio_features,6goUTcMn0V30hWtKFIj6Kh,spotify:track:6goUTcMn0V30hWtKFIj6Kh,https://api.spotify.com/v1/tracks/6goUTcMn0V30hWtKFIj6Kh,https://api.spotify.com/v1/audio-analysis/6goUTcMn0V30hWtKFIj6Kh,277773.0,4.0
Queen,Death On Two Legs (Dedicated To...) - Remastered 2011,0.373,0.691,2.0,-6.219,1.0,0.0554,0.362,4.03e-05,0.133,0.499,124.767,audio_features,2MvRMWU2ILRcFEU8WWbuP8,spotify:track:2MvRMWU2ILRcFEU8WWbuP8,https://api.spotify.com/v1/tracks/2MvRMWU2ILRcFEU8WWbuP8,https://api.spotify.com/v1/audio-analysis/2MvRMWU2ILRcFEU8WWbuP8,223920.0,4.0
Queen,I'm In Love With My Car - Remastered 2011,0.292,0.803,4.0,-8.541,0.0,0.065,0.0113,5.63e-06,0.321,0.41,143.856,audio_features,253ewjP2R1LjKqA70mGdnk,spotify:track:253ewjP2R1LjKqA70mGdnk,https://api.spotify.com/v1/tracks/253ewjP2R1LjKqA70mGdnk,https://api.spotify.com/v1/audio-analysis/253ewjP2R1LjKqA70mGdnk,184893.0,3.0
George Michael,Somebody to Love,0.333,0.863,7.0,-6.918,1.0,0.0515,0.0518,0.0,0.972,0.384,110.162,audio_features,1kn8Jj0i9IwyO3yDgDyUSR,spotify:track:1kn8Jj0i9IwyO3yDgDyUSR,https://api.spotify.com/v1/tracks/1kn8Jj0i9IwyO3yDgDyUSR,https://api.spotify.com/v1/audio-analysis/1kn8Jj0i9IwyO3yDgDyUSR,318867.0,1.0
Queen,I'm Going Slightly Mad - Remastered 2011,0.639,0.83,9.0,-6.322,0.0,0.0544,0.583,1.38e-05,0.189,0.299,115.64,audio_features,1pHVfiNHMMZYquR35fTZdM,spotify:track:1pHVfiNHMMZYquR35fTZdM,https://api.spotify.com/v1/tracks/1pHVfiNHMMZYquR35fTZdM,https://api.spotify.com/v1/audio-analysis/1pHVfiNHMMZYquR35fTZdM,262933.0,4.0
Queen,'39 - Remastered 2011,0.524,0.571,8.0,-9.686,1.0,0.0273,0.0271,0.0,0.111,0.373,101.626,audio_features,65NTcXUtOb27NHKQ4fAcw0,spotify:track:65NTcXUtOb27NHKQ4fAcw0,https://api.spotify.com/v1/tracks/65NTcXUtOb27NHKQ4fAcw0,https://api.spotify.com/v1/audio-analysis/65NTcXUtOb27NHKQ4fAcw0,210800.0,4.0
Queen,Flash - Single Version,0.48,0.654,4.0,-11.353,0.0,0.118,0.186,0.0208,0.11,0.208,108.449,audio_features,5aswWmjJLHBSYFknQjegfg,spotify:track:5aswWmjJLHBSYFknQjegfg,https://api.spotify.com/v1/tracks/5aswWmjJLHBSYFknQjegfg,https://api.spotify.com/v1/audio-analysis/5aswWmjJLHBSYFknQjegfg,168213.0,4.0
Queen,Liar - Remastered 2011,0.217,0.784,2.0,-7.202,1.0,0.153,0.00252,0.0775,0.195,0.27,79.181,audio_features,6hPAoJvuIsgPlxnoZnjPRk,spotify:track:6hPAoJvuIsgPlxnoZnjPRk,https://api.spotify.com/v1/tracks/6hPAoJvuIsgPlxnoZnjPRk,https://api.spotify.com/v1/audio-analysis/6hPAoJvuIsgPlxnoZnjPRk,383907.0,4.0
Queen,Now I'm Here - Remastered 2011,0.492,0.759,4.0,-6.938,1.0,0.0511,0.0321,0.00224,0.0988,0.522,132.547,audio_features,5v1osKVFv3rXWb1VJDO9pW,spotify:track:5v1osKVFv3rXWb1VJDO9pW,https://api.spotify.com/v1/tracks/5v1osKVFv3rXWb1VJDO9pW,https://api.spotify.com/v1/audio-analysis/5v1osKVFv3rXWb1VJDO9pW,252933.0,4.0
Larry Heard,Dreaming Of Better Days,0.708,0.688,0.0,-13.666,0.0,0.0336,0.009,9.84e-06,0.227,0.891,117.988,audio_features,4nP6WC0TU7MUIiop75FTVQ,spotify:track:4nP6WC0TU7MUIiop75FTVQ,https://api.spotify.com/v1/tracks/4nP6WC0TU7MUIiop75FTVQ,https://api.spotify.com/v1/audio-analysis/4nP6WC0TU7MUIiop75FTVQ,306893.0,4.0
The Rolling Stones,Can't You Hear Me Knocking - Remastered,0.545,0.757,0.0,-5.228,1.0,0.0396,0.408,0.045,0.16,0.714,152.217,audio_features,7HRKgCruDphRaLW4wmx8xM,spotify:track:7HRKgCruDphRaLW4wmx8xM,https://api.spotify.com/v1/tracks/7HRKgCruDphRaLW4wmx8xM,https://api.spotify.com/v1/audio-analysis/7HRKgCruDphRaLW4wmx8xM,436000.0,4.0
