track,artist,genre,year
Blowin' in the Wind, Bob Dylan,Punk,1976
Jailhouse Rock, Elvis Presley,Folk,1963
What'd I Say, Ray Charles,Rock & Roll,1957
I Want to Hold Your Hand, the Beatles,R&B,1959
(Sittin' on) the Dock of the Bay, Otis Redding,British Invasion,1963
I Heard It Through the Grapevine, Marvin Gaye,R&B,1968
You've Lost That Lovin' Feelin', The Righteous Brothers,Soul,1968
Hotel California, The Eagles,Pop,1965
Hotel California, Eagles,Rock,1976
The Tracks of My Tears, Smokey Robinson and the Miracles,Soul,1965
Be My Ba,""" by The Ronettes",Pop,1964
Smells Like Teen Spirit, Nirvana,Grunge,1991
Sympathy for the Devil, The Rolling Stones,Rock,1968
Wish You Were Here, Pink Floyd,Acoustic Rock,1975
Born to Run, Bruce Springsteen,Heartland Rock,1975
All Along the Watchtower, The Jimi Hendrix Experience,Psychedelic Rock,1968
Bohemian Rhapsody, Queen,Rock,1975
The Weight, the Band,Folk Rock,1968
Hey Jude, The Beatles,Pop,1968
My Generation, The Who,British Invasion,1965
Layla, Derek and the Dominos,Blues Rock,1970
Respect, Aretha Franklin,Soul,1967
"Oh, Pretty Woman", Roy Orbison,Rock,1964
Good Vibrations, The Beach Boys,Psychedelic Pop,1967
What's Going On, Marvin Gaye,Soul,1971
Let It Be, The Beatles,Rock,1970
Gimme Shelter, The Rolling Stones,Rock,1969
Heartbreak Hotel, Elvis Presley,Rock & Roll,1956
Stairway to Heaven,,Rock,1971
Imagine, John Lennon,Rock,1971
Like a Rolling Stone, Bob Dylan,Folk Rock,1965
Yesterday, The Beatles,British Invasion,1965
Johnny B. Goode, Chuck Berry,Rock & Roll,1959
